EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), APRIL 2010
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, PUTTEN (GLD) (source-ID: 101992)
See file source.txt for more info.



 SOUID,    DATE,   SD, Q_SD
101992,19030118,-9999,    9
101992,19030119,-9999,    9
101992,19030120,-9999,    9
101992,19030121,-9999,    9
101992,19030122,-9999,    9
101992,19030123,-9999,    9
101992,19030124,-9999,    9
101992,19030125,-9999,    9
101992,19030126,-9999,    9
101992,19030127,-9999,    9
101992,19030128,-9999,    9
101992,19030129,-9999,    9
101992,19030130,-9999,    9
101992,19030131,-9999,    9
101992,19030201,-9999,    9
101992,19030202,-9999,    9
101992,19030203,-9999,    9
101992,19030204,-9999,    9
101992,19030205,-9999,    9
101992,19030206,-9999,    9
101992,19030207,-9999,    9
101992,19030208,-9999,    9
101992,19030209,-9999,    9
101992,19030210,-9999,    9
101992,19030211,-9999,    9
101992,19030212,-9999,    9
101992,19030213,-9999,    9
101992,19030214,-9999,    9
101992,19030215,-9999,    9
101992,19030216,-9999,    9
101992,19030217,-9999,    9
101992,19030218,-9999,    9
101992,19030219,-9999,    9
101992,19030220,-9999,    9
101992,19030221,-9999,    9
101992,19030222,-9999,    9
101992,19030223,-9999,    9
101992,19030224,-9999,    9
101992,19030225,-9999,    9
101992,19030226,-9999,    9
101992,19030227,-9999,    9
101992,19030228,-9999,    9
101992,19030301,-9999,    9
101992,19030302,-9999,    9
101992,19030303,-9999,    9
101992,19030304,-9999,    9
101992,19030305,-9999,    9
101992,19030306,-9999,    9
101992,19030307,-9999,    9
101992,19030308,-9999,    9
101992,19030309,-9999,    9
101992,19030310,-9999,    9
101992,19030311,-9999,    9
101992,19030312,-9999,    9
101992,19030313,-9999,    9
101992,19030314,-9999,    9
101992,19030315,-9999,    9
101992,19030316,-9999,    9
101992,19030317,-9999,    9
101992,19030318,-9999,    9
101992,19030319,-9999,    9
101992,19030320,-9999,    9
101992,19030321,-9999,    9
101992,19030322,-9999,    9
101992,19030323,-9999,    9
101992,19030324,-9999,    9
101992,19030325,-9999,    9
101992,19030326,-9999,    9
101992,19030327,-9999,    9
101992,19030328,-9999,    9
101992,19030329,-9999,    9
101992,19030330,-9999,    9
101992,19030331,-9999,    9
101992,19030401,-9999,    9
101992,19030402,-9999,    9
101992,19030403,-9999,    9
101992,19030404,-9999,    9
101992,19030405,-9999,    9
101992,19030406,-9999,    9
101992,19030407,-9999,    9
101992,19030408,-9999,    9
101992,19030409,-9999,    9
101992,19030410,-9999,    9
101992,19030411,-9999,    9
101992,19030412,-9999,    9
101992,19030413,-9999,    9
101992,19030414,-9999,    9
101992,19030415,-9999,    9
101992,19030416,-9999,    9
101992,19030417,-9999,    9
101992,19030418,-9999,    9
101992,19030419,-9999,    9
101992,19030420,-9999,    9
101992,19030421,-9999,    9
101992,19030422,-9999,    9
101992,19030423,-9999,    9
101992,19030424,-9999,    9
101992,19030425,-9999,    9
101992,19030426,-9999,    9
101992,19030427,-9999,    9
101992,19030428,-9999,    9
101992,19030429,-9999,    9
101992,19030430,-9999,    9
101992,19030501,-9999,    9
101992,19030502,-9999,    9
101992,19030503,-9999,    9
101992,19030504,-9999,    9
101992,19030505,-9999,    9
101992,19030506,-9999,    9
101992,19030507,-9999,    9
101992,19030508,-9999,    9
101992,19030509,-9999,    9
101992,19030510,-9999,    9
101992,19030511,-9999,    9
